filename,x1,y1,x2,y2,skew,width,height,abs_skew
v1_343,272,360,2456,4192,0.21259931932763687,2184,3832,0.21259931932763687
v1_344,416,368,2564,4204,-0.3218830153987252,2148,3836,0.3218830153987252
v1_345,264,384,2444,4224,0.5344600529232296,2180,3840,0.5344600529232296
v1_346,404,388,2580,4232,-1.3547152510306297,2176,3844,1.3547152510306297
v1_347,276,400,2412,4220,1.169139327907419,2136,3820,1.169139327907419
v1_348,428,400,2588,4228,-2.935673446421173,2160,3828,2.935673446421173
v1_349,252,380,2412,4200,0.3218830153987252,2160,3820,0.3218830153987252
v1_350,432,364,2592,4196,-0.3212813775262338,2160,3832,0.3212813775262338
v1_351,256,400,2400,4200,0.0,2144,3800,0.0
v1_352,416,388,2604,4216,0.21103322437787755,2188,3828,0.21103322437787755
v1_353,264,336,2428,4180,0.6449533903236977,2164,3844,0.6449533903236977
v1_354,452,340,2592,4188,0.0,2140,3848,0.0
v1_355,252,384,2448,4276,-1.0768615206026118,2196,3892,1.0768615206026118
v1_357,260,292,2440,4132,0.2153966526070763,2180,3840,0.2153966526070763
v1_358,428,292,2580,4116,0.2141888321947865,2152,3824,0.2141888321947865
v1_359,284,404,2436,4236,-0.2149925351045221,2152,3832,0.2149925351045221
v1_360,436,408,2584,4252,0.2153966526070763,2148,3844,0.2153966526070763
v1_361,288,292,2444,4108,-0.10689498700776502,2156,3816,0.10689498700776502
v1_362,404,284,2564,4116,0.10689498700776502,2160,3832,0.10689498700776502
v1_363,268,260,2420,4068,-0.6473823869418766,2152,3808,0.6473823869418766
v1_364,420,280,2596,4112,0.3194898829217858,2176,3832,0.3194898829217858
v1_366,404,360,2584,4200,0.8550973962667232,2180,3840,0.8550973962667232
v1_367,292,296,2464,4112,-0.10769870682848337,2172,3816,0.10769870682848337
v1_368,384,296,2544,4128,0.3218830153987252,2160,3832,0.3218830153987252
v1_374,448,308,2612,4124,0.21299448171142213,2164,3816,0.21299448171142213
v1_375,248,396,2420,4228,0.3200848237816687,2172,3832,0.3200848237816687
v1_376,472,396,2620,4240,0.2153966526070763,2148,3844,0.2153966526070763
v1_377,260,312,2412,4148,0.0,2152,3836,0.0
v1_378,448,296,2596,4128,0.0,2148,3832,0.0
v1_379,184,220,2424,4080,-0.8394385337123186,2240,3860,0.8394385337123186
v1_380,476,256,2632,4108,0.42997901620587947,2156,3852,0.42997901620587947
v1_381,264,420,2416,4240,0.10669592790226687,2152,3820,0.10669592790226687
v1_382,476,420,2636,4244,0.21620946246236616,2160,3824,0.21620946246236616
v1_383,236,300,2400,4104,0.10610317410621432,2164,3804,0.10610317410621432
v1_384,460,284,2636,4112,0.10769870682848337,2176,3828,0.10769870682848337
v1_385,232,412,2380,4236,0.7538483330707672,2148,3824,0.7538483330707672
v1_386,472,412,2616,4244,-0.5374680948810916,2144,3832,0.5374680948810916
v1_387,324,368,2476,4224,0.0,2152,3856,0.0
v1_388,428,356,2576,4204,0.2141888321947865,2148,3848,0.2141888321947865
v1_389,308,324,2468,4200,0.42677631190400894,2160,3876,0.42677631190400894
v1_390,408,364,2552,4196,0.0,2144,3832,0.0
