filename,x1_before,x1_after,y1_before,y1_after,x2_before,x2_after,y2_before,y2_after,width_before,width_after,height_before,height_after,skew_before,skew_after,abs_skew_before,abs_skew_after,delta_x1,delta_y1,delta_x2,delta_y2,delta_width,delta_height,delta_skew,delta_abs_skew,abs_delta_skew
v1_033,212,248,364,368,2376,2408,4204,4208,2164,2160,3840,3840,0.32,0.32,0.32,0.32,36,4,32,4,-4,0,0.00,0.00,0.00
v1_034,488,532,360,356,2636,2664,4208,4208,2148,2132,3848,3852,-0.65,0.00,0.65,0.00,44,-4,28,0,-16,4,0.65,-0.65,0.65
v1_035,252,264,364,368,2420,2432,4212,4216,2168,2168,3848,3848,0.11,-0.43,0.11,0.43,12,4,12,4,0,0,-0.54,0.32,0.32
v1_036,468,496,360,364,2632,2644,4228,4184,2164,2148,3868,3820,-0.11,-0.11,0.11,0.11,28,4,12,-44,-16,-48,0.00,0.00,0.00
v1_037,240,256,360,360,2436,2440,4208,4204,2196,2184,3848,3844,0.64,0.64,0.64,0.64,16,0,4,-4,-12,-4,0.00,0.00,0.00
v1_038,436,460,356,344,2612,2628,4192,4192,2176,2168,3836,3848,-0.64,-0.86,0.64,0.86,24,-12,16,0,-8,12,-0.22,0.22,0.22
v1_041,248,260,348,348,2420,2444,4164,4168,2172,2184,3816,3820,0.32,0.42,0.32,0.42,12,0,24,4,12,4,0.10,0.10,0.10
v1_042,456,476,328,328,2624,2636,4176,4176,2168,2160,3848,3848,-0.32,-0.43,0.32,0.43,20,0,12,0,-8,0,-0.11,0.11,0.11
v1_043,272,292,300,300,2428,2448,4116,4112,2156,2156,3816,3812,0.00,0.00,0.00,0.00,20,0,20,-4,0,-4,0.00,0.00,0.00
v1_044,440,460,340,320,2592,2608,4148,4144,2152,2148,3808,3824,0.00,-0.11,0.00,0.11,20,-20,16,-4,-4,16,-0.11,0.11,0.11
v1_045,272,292,328,328,2416,2436,4132,4136,2144,2144,3804,3808,0.00,0.00,0.00,0.00,20,0,20,4,0,4,0.00,0.00,0.00
v1_046,460,472,340,344,2604,2624,4164,4168,2144,2152,3824,3824,0.00,0.00,0.00,0.00,12,4,20,4,8,0,0.00,0.00,0.00
v1_047,272,288,356,356,2416,2432,4176,4176,2144,2144,3820,3820,0.23,0.00,0.23,0.00,16,0,16,0,0,0,-0.23,-0.23,0.23
v1_048,440,460,348,348,2600,2616,4176,4180,2160,2156,3828,3832,0.21,0.32,0.21,0.32,20,0,16,4,-4,4,0.11,0.11,0.11
v1_049,268,304,336,336,2436,2452,4144,4140,2168,2148,3808,3804,0.00,0.11,0.00,0.11,36,0,16,-4,-20,-4,0.11,0.11,0.11
v1_050,452,460,352,360,2616,2632,4132,4136,2164,2172,3780,3776,0.00,0.00,0.00,0.00,8,8,16,4,8,-4,0.00,0.00,0.00
v1_051,320,332,348,348,2464,2488,4196,4220,2144,2156,3848,3872,-0.11,-0.11,0.11,0.11,12,0,24,24,12,24,0.00,-0.00,0.00
v1_052,424,444,324,332,2584,2600,4156,4160,2160,2156,3832,3828,-0.21,-0.22,0.21,0.22,20,8,16,4,-4,-4,-0.00,0.00,0.00
v1_053,280,316,364,360,2456,2480,4188,4192,2176,2164,3824,3832,0.21,0.86,0.21,0.86,36,-4,24,4,-12,8,0.65,0.65,0.65
v1_054,400,428,336,344,2564,2576,4148,4152,2164,2148,3812,3808,0.32,0.21,0.32,0.21,28,8,12,4,-16,-4,-0.11,-0.11,0.11
v1_055,288,312,352,344,2464,2488,4184,4188,2176,2176,3832,3844,0.64,3.18,0.64,3.18,24,-8,24,4,0,12,2.54,2.54,2.54
v1_056,424,448,336,324,2564,2588,4172,4172,2140,2140,3836,3848,0.00,-0.43,0.00,0.43,24,-12,24,0,0,12,-0.43,0.43,0.43
v1_057,244,288,332,340,2436,2464,4168,4168,2192,2176,3836,3828,0.65,0.76,0.65,0.76,44,8,28,0,-16,-8,0.11,0.11,0.11
v1_058,408,436,304,304,2580,2600,4156,4156,2172,2164,3852,3852,-0.64,-0.65,0.64,0.65,28,0,20,0,-8,0,-0.00,0.00,0.00
v1_059,288,316,332,336,2428,2452,4140,4136,2140,2136,3808,3800,0.00,0.00,0.00,0.00,28,4,24,-4,-4,-8,0.00,0.00,0.00
v1_062,440,460,372,364,2596,2632,4196,4192,2156,2172,3824,3828,0.11,0.21,0.11,0.21,20,-8,36,-4,16,4,0.11,0.11,0.11
v1_063,260,292,336,336,2412,2440,4160,4156,2152,2148,3824,3820,0.11,0.21,0.11,0.21,32,0,28,-4,-4,-4,0.11,0.11,0.11
v1_064,432,456,336,348,2588,2608,4156,4160,2156,2152,3820,3812,0.11,0.00,0.11,0.00,24,12,20,4,-4,-8,-0.11,-0.11,0.11
v1_065,272,312,352,352,2444,2468,4184,4184,2172,2156,3832,3832,0.43,0.64,0.43,0.64,40,0,24,0,-16,0,0.22,0.22,0.22
v1_066,428,464,368,368,2596,2624,4180,4184,2168,2160,3812,3816,-0.32,-0.43,0.32,0.43,36,0,28,4,-8,4,-0.11,0.11,0.11
v1_069,272,304,312,316,2416,2448,4160,4164,2144,2144,3848,3848,-0.32,-0.21,0.32,0.21,32,4,32,4,0,0,0.11,-0.11,0.11
v1_070,436,464,360,348,2564,2600,4200,4200,2128,2136,3840,3852,0.00,0.43,0.00,0.43,28,-12,36,0,8,12,0.43,0.43,0.43
v1_071,264,304,244,232,2452,2464,4128,4128,2188,2160,3884,3896,-0.53,-1.08,0.53,1.08,40,-12,12,0,-28,12,-0.54,0.54,0.54
v1_072,424,456,388,384,2572,2596,4196,4196,2148,2140,3808,3812,-0.32,-0.22,0.32,0.22,32,-4,24,0,-8,4,0.11,-0.11,0.11
v1_073,284,324,276,288,2484,2500,4068,4072,2200,2176,3792,3784,-0.86,-0.64,0.86,0.64,40,12,16,4,-24,-8,0.21,-0.21,0.21
v1_076,460,496,276,288,2616,2652,4076,4076,2156,2156,3800,3788,0.21,0.11,0.21,0.11,36,12,36,0,0,-12,-0.11,-0.11,0.11
v1_077,240,124,340,340,2428,2460,4176,4176,2188,2336,3836,3836,-0.97,0.00,0.97,0.00,-116,0,32,0,148,0,0.97,-0.97,0.97
v1_078,416,456,324,320,2596,2628,4144,4144,2180,2172,3820,3824,0.53,0.64,0.53,0.64,40,-4,32,0,-8,4,0.11,0.11,0.11
v1_079,248,284,308,324,2432,2472,4112,4112,2184,2188,3804,3788,-0.64,-0.22,0.64,0.22,36,16,40,0,4,-16,0.42,-0.42,0.42
v1_080,412,448,244,244,2600,2628,4072,4076,2188,2180,3828,3832,0.96,0.96,0.96,0.96,36,0,28,4,-8,4,0.00,0.00,0.00
v1_081,220,260,332,336,2448,2484,4132,4132,2228,2224,3800,3796,-1.29,-1.40,1.29,1.40,40,4,36,0,-4,-4,-0.11,0.11,0.11
v1_082,412,452,268,272,2608,2660,4088,4092,2196,2208,3820,3820,0.00,0.00,0.00,0.00,40,4,52,4,12,0,0.00,0.00,0.00
v1_085,284,320,308,312,2452,2484,4136,4132,2168,2164,3828,3820,0.32,0.43,0.32,0.43,36,4,32,-4,-4,-8,0.11,0.11,0.11
v1_086,380,412,340,336,2560,2592,4172,4172,2180,2180,3832,3836,-0.64,-0.64,0.64,0.64,32,-4,32,0,0,4,-0.00,0.00,0.00
v1_087,276,316,316,324,2444,2496,4156,4152,2168,2180,3840,3828,0.32,0.32,0.32,0.32,40,8,52,-4,12,-12,-0.00,-0.00,0.00
v1_088,392,432,372,372,2568,2604,4200,4196,2176,2172,3828,3824,-0.97,-0.75,0.97,0.75,40,0,36,-4,-4,-4,0.21,-0.21,0.21
v1_091,224,264,364,372,2400,2440,4168,4168,2176,2176,3804,3796,0.00,0.35,0.00,0.35,40,8,40,0,0,-8,0.35,0.35,0.35
v1_092,456,500,304,308,2616,2660,4156,4160,2160,2160,3852,3852,-0.97,-0.76,0.97,0.76,44,4,44,4,0,0,0.21,-0.21,0.21
v1_093,252,288,388,392,2400,2440,4208,4212,2148,2152,3820,3820,0.21,0.11,0.21,0.11,36,4,40,4,4,0,-0.11,-0.11,0.11
v1_094,420,460,332,328,2584,2624,4164,4240,2164,2164,3832,3912,-0.64,-0.75,0.64,0.75,40,-4,40,76,0,80,-0.11,0.11,0.11
v1_097,232,268,368,388,2388,2428,4172,4168,2156,2160,3804,3780,-0.32,0.00,0.32,0.00,36,20,40,-4,4,-24,0.32,-0.32,0.32
v1_098,420,464,308,316,2608,2652,4160,4164,2188,2188,3852,3848,-0.64,-0.53,0.64,0.53,44,8,44,4,0,-4,0.11,-0.11,0.11
v1_099,228,280,304,324,2388,2440,4176,4180,2160,2160,3872,3856,0.43,0.00,0.43,0.00,52,20,52,4,0,-16,-0.43,-0.43,0.43
v1_100,416,468,340,336,2588,2636,4176,4160,2172,2168,3836,3824,-0.43,-0.43,0.43,0.43,52,-4,48,-16,-4,-12,-0.00,0.00,0.00
v1_101,240,288,272,268,2388,2436,4128,4128,2148,2148,3856,3860,0.00,0.24,0.00,0.24,48,-4,48,0,0,4,0.24,0.24,0.24
v1_104,420,468,440,440,2560,2604,4256,4264,2140,2136,3816,3824,0.00,0.00,0.00,0.00,48,0,44,8,-4,8,0.00,0.00,0.00
v1_105,28,304,352,344,2416,2460,4196,4136,2388,2156,3844,3792,0.00,-0.43,0.00,0.43,276,-8,44,-60,-232,-52,-0.43,0.43,0.43
v1_106,424,464,380,380,2572,2620,4200,4200,2148,2156,3820,3820,0.00,-0.43,0.00,0.43,40,0,48,0,8,0,-0.43,0.43,0.43
v1_107,248,292,360,364,2412,2452,4176,4176,2164,2160,3816,3812,0.00,-0.21,0.00,0.21,44,4,40,0,-4,-4,-0.21,0.21,0.21
v1_108,420,468,356,356,2580,2616,4172,4176,2160,2148,3816,3820,0.21,0.22,0.21,0.22,48,0,36,4,-12,4,0.00,0.00,0.00
v1_109,228,296,388,388,2420,2464,4204,4204,2192,2168,3816,3816,-0.53,-0.32,0.53,0.32,68,0,44,0,-24,0,0.21,-0.21,0.21
v1_110,392,440,372,388,2560,2592,4204,4208,2168,2152,3832,3820,0.54,0.00,0.54,0.00,48,16,32,4,-16,-12,-0.54,-0.54,0.54
v1_111,268,308,300,296,2416,2456,4116,4112,2148,2148,3816,3816,-1.01,-1.01,1.01,1.01,40,-4,40,-4,0,0,0.00,0.00,0.00
v1_112,416,452,276,272,2580,2616,4096,4100,2164,2164,3820,3828,0.11,0.21,0.11,0.21,36,-4,36,4,0,8,0.11,0.11,0.11
v1_115,272,316,304,300,2448,2488,4156,4156,2176,2172,3852,3856,-0.21,-0.32,0.21,0.32,44,-4,40,0,-4,4,-0.11,0.11,0.11
v1_116,380,428,304,308,2552,2588,4144,4192,2172,2160,3840,3884,-0.75,0.00,0.75,0.00,48,4,36,48,-12,44,0.75,-0.75,0.75
v1_117,284,324,288,280,2428,2472,4136,4136,2144,2148,3848,3856,0.22,0.32,0.22,0.32,40,-8,44,0,4,8,0.11,0.11,0.11
v1_118,412,456,292,300,2544,2588,4136,4136,2132,2132,3844,3836,-0.22,0.22,0.22,0.22,44,8,44,0,0,-8,0.43,0.00,0.00
v1_119,248,300,404,412,2420,2452,4236,4244,2172,2152,3832,3832,0.00,0.00,0.00,0.00,52,8,32,8,-20,0,0.00,0.00,0.00
v1_120,392,436,412,412,2556,2596,4244,4244,2164,2160,3832,3832,-0.54,-0.54,0.54,0.54,44,0,40,0,-4,0,-0.00,0.00,0.00
v1_123,260,304,388,380,2416,2448,4184,4188,2156,2144,3796,3808,0.00,0.21,0.00,0.21,44,-8,32,4,-12,12,0.21,0.21,0.21
v1_124,424,472,356,348,2592,2636,4184,4180,2168,2164,3828,3832,-0.32,-0.75,0.32,0.75,48,-8,44,-4,-4,4,-0.43,0.43,0.43
v1_125,260,304,440,436,2408,2456,4240,4244,2148,2152,3800,3808,-0.11,-0.21,0.11,0.21,44,-4,48,4,4,8,-0.11,0.11,0.11
v1_128,416,464,264,260,2564,2608,4104,4104,2148,2144,3840,3844,-0.32,-0.21,0.32,0.21,48,-4,44,0,-4,4,0.11,-0.11,0.11
v1_129,264,304,300,308,2408,2456,4144,4144,2144,2152,3844,3836,-0.11,-0.11,0.11,0.11,40,8,48,0,8,-8,-0.00,0.00,0.00
v1_130,428,468,304,292,2568,2616,4136,4136,2140,2148,3832,3844,0.00,0.11,0.00,0.11,40,-12,48,0,8,12,0.11,0.11,0.11
v1_131,228,276,320,320,2392,2444,4180,4184,2164,2168,3860,3864,0.21,0.21,0.21,0.21,48,0,52,4,4,4,-0.00,-0.00,0.00
v1_132,428,472,320,332,2596,2636,4192,4196,2168,2164,3872,3864,-0.54,-0.32,0.54,0.32,44,12,40,4,-4,-8,0.22,-0.22,0.22
v1_133,252,288,396,388,2416,2456,4228,4228,2164,2168,3832,3840,0.11,90.00,0.11,90.00,36,-8,40,0,4,8,89.89,89.89,89.89
v1_136,412,456,368,372,2556,2596,4192,4188,2144,2140,3824,3816,-0.11,0.00,0.11,0.00,44,4,40,-4,-4,-8,0.11,-0.11,0.11
v1_137,260,304,396,376,2416,2440,4244,4244,2156,2136,3848,3868,0.43,-0.43,0.43,0.43,44,-20,24,0,-20,20,-0.86,0.00,0.00
v1_138,412,456,416,424,2560,2592,4272,4268,2148,2136,3856,3844,-0.21,-0.11,0.21,0.11,44,8,32,-4,-12,-12,0.11,-0.11,0.11
v1_139,248,296,380,384,2416,2448,4188,4196,2168,2152,3808,3812,-0.22,-0.22,0.22,0.22,48,4,32,8,-16,4,-0.00,0.00,0.00
v1_140,404,440,368,368,2564,2604,4192,4192,2160,2164,3824,3824,0.00,-0.11,0.00,0.11,36,0,40,0,4,0,-0.11,0.11,0.11
v1_141,240,280,308,300,2428,2448,4136,4136,2188,2168,3828,3836,-0.11,-0.32,0.11,0.32,40,-8,20,0,-20,8,-0.22,0.22,0.22
v1_142,392,440,316,320,2560,2588,4144,4148,2168,2148,3828,3828,0.54,0.54,0.54,0.54,48,4,28,4,-20,0,0.00,0.00,0.00
v1_143,284,320,336,344,2444,2480,4160,4164,2160,2160,3824,3820,-0.22,0.00,0.22,0.00,36,8,36,4,0,-4,0.22,-0.22,0.22
v1_144,396,440,336,340,2584,2624,4164,4164,2188,2184,3828,3824,0.32,0.32,0.32,0.32,44,4,40,0,-4,-4,0.00,0.00,0.00
v1_145,256,296,244,248,2436,2480,4060,4064,2180,2184,3816,3816,-1.19,-1.18,1.19,1.18,40,4,44,4,4,0,0.00,-0.00,0.00
v1_146,368,408,244,244,2612,2640,4064,4068,2244,2232,3820,3824,0.98,0.43,0.98,0.43,40,0,28,4,-12,4,-0.54,-0.54,0.54
v1_147,244,300,252,288,2456,2476,4156,4156,2212,2176,3904,3868,0.96,0.43,0.96,0.43,56,36,20,0,-36,-36,-0.52,-0.52,0.52
v1_148,384,428,300,296,2576,2616,4164,4156,2192,2188,3864,3860,-0.85,-0.86,0.85,0.86,44,-4,40,-8,-4,-4,-0.00,0.00,0.00
v1_149,256,300,352,360,2448,2480,4204,4208,2192,2180,3852,3848,-0.21,0.00,0.21,0.00,44,8,32,4,-12,-4,0.21,-0.21,0.21
v1_150,412,452,352,352,2568,2604,4216,4196,2156,2152,3864,3844,-0.43,-0.11,0.43,0.11,40,0,36,-20,-4,-20,0.32,-0.32,0.32
v1_151,256,296,340,344,2440,2468,4164,4164,2184,2172,3824,3820,0.64,0.38,0.64,0.38,40,4,28,0,-12,-4,-0.25,-0.25,0.25
v1_152,380,424,320,312,2556,2592,4180,4180,2176,2168,3860,3868,-0.75,-0.75,0.75,0.75,44,-8,36,0,-8,8,-0.00,0.00,0.00
v1_155,252,292,416,416,2412,2440,4244,4248,2160,2148,3828,3832,-0.21,-0.21,0.21,0.21,40,0,28,4,-12,4,0.00,0.00,0.00
v1_156,424,468,404,404,2572,2604,4236,4236,2148,2136,3832,3832,0.00,0.00,0.00,0.00,44,0,32,0,-12,0,0.00,0.00,0.00
v1_157,240,276,348,356,2416,2440,4180,4180,2176,2164,3832,3824,0.00,-0.11,0.00,0.11,36,8,24,0,-12,-8,-0.11,0.11,0.11
v1_158,428,464,376,376,2636,2624,4180,4180,2208,2160,3804,3804,0.00,0.00,0.00,0.00,36,0,-12,0,-48,0,0.00,0.00,0.00
v1_159,216,264,368,392,2404,2448,4196,4196,2188,2184,3828,3804,-0.42,-0.11,0.42,0.11,48,24,44,0,-4,-24,0.31,-0.31,0.31
v1_160,424,472,380,388,2600,2644,4212,4216,2176,2172,3832,3828,0.21,0.00,0.21,0.00,48,8,44,4,-4,-4,-0.21,-0.21,0.21
v1_161,252,288,312,324,2412,2464,4128,4128,2160,2176,3816,3804,-0.43,0.00,0.43,0.00,36,12,52,0,16,-12,0.43,-0.43,0.43
v1_162,424,468,308,308,2584,2620,4156,4160,2160,2152,3848,3852,-0.11,-0.11,0.11,0.11,44,0,36,4,-8,4,-0.00,0.00,0.00
v1_163,268,300,388,384,2428,2456,4236,4240,2160,2156,3848,3856,0.00,0.00,0.00,0.00,32,-4,28,4,-4,8,0.00,0.00,0.00
v1_164,408,440,392,392,2576,2604,4204,4204,2168,2164,3812,3812,-0.21,-0.51,0.21,0.51,32,0,28,0,-4,0,-0.30,0.30,0.30
v1_165,252,308,364,352,2440,2468,4212,4208,2188,2160,3848,3856,0.21,0.87,0.21,0.87,56,-12,28,-4,-28,8,0.65,0.65,0.65
v1_166,432,444,336,292,2584,2616,4196,4200,2152,2172,3860,3908,-0.32,0.21,0.32,0.21,12,-44,32,4,20,48,0.54,-0.11,0.11
v1_167,252,292,404,400,2428,2460,4224,4228,2176,2168,3820,3828,0.00,0.11,0.00,0.11,40,-4,32,4,-8,8,0.11,0.11,0.11
v1_170,392,420,320,316,2564,2588,4156,4156,2172,2168,3836,3840,-0.43,-0.43,0.43,0.43,28,-4,24,0,-4,4,-0.00,0.00,0.00
v1_171,280,312,332,332,2440,2468,4156,4160,2160,2156,3824,3828,0.75,0.75,0.75,0.75,32,0,28,4,-4,4,0.00,0.00,0.00
v1_172,212,460,328,340,2576,2604,4164,4164,2364,2144,3836,3824,-0.64,-0.32,0.64,0.32,248,12,28,0,-220,-12,0.32,-0.32,0.32
v1_173,316,352,312,324,2512,2524,4128,4132,2196,2172,3816,3808,-0.64,-0.65,0.64,0.65,36,12,12,4,-24,-8,-0.01,0.01,0.01
v1_174,356,388,340,340,2500,2544,4164,4164,2144,2156,3824,3824,0.11,0.11,0.11,0.11,32,0,44,0,12,0,0.00,0.00,0.00
v1_175,296,332,364,364,2460,2512,4212,4212,2164,2180,3848,3848,0.76,0.97,0.76,0.97,36,0,52,0,16,0,0.21,0.21,0.21
v1_176,396,432,368,372,2544,2572,4228,4220,2148,2140,3860,3848,-0.54,-0.32,0.54,0.32,36,4,28,-8,-8,-12,0.21,-0.21,0.21
v1_177,292,324,340,332,2448,2464,4160,4156,2156,2140,3820,3824,-0.64,-0.65,0.64,0.65,32,-8,16,-4,-16,4,-0.00,0.00,0.00
v1_178,408,440,340,348,2552,2580,4156,4164,2144,2140,3816,3816,0.54,0.00,0.54,0.00,32,8,28,8,-4,0,-0.54,-0.54,0.54
v1_179,284,316,360,364,2436,2456,4200,4204,2152,2140,3840,3840,0.00,0.65,0.00,0.65,32,4,20,4,-12,0,0.65,0.65,0.65
v1_184,452,488,332,332,2612,2656,4168,4168,2160,2168,3836,3836,-0.54,-0.43,0.54,0.43,36,0,44,0,8,0,0.11,-0.11,0.11
v1_185,288,320,328,332,2440,2468,4132,4132,2152,2148,3804,3800,0.11,0.11,0.11,0.11,32,4,28,0,-4,-4,0.00,0.00,0.00
v1_186,428,452,320,332,2576,2600,4156,4156,2148,2148,3836,3824,0.32,0.11,0.32,0.11,24,12,24,0,0,-12,-0.21,-0.21,0.21
v1_187,244,272,304,292,2396,2432,4108,4112,2152,2160,3804,3820,-0.11,-0.21,0.11,0.21,28,-12,36,4,8,16,-0.11,0.11,0.11
v1_190,412,440,372,372,2568,2596,4192,4196,2156,2156,3820,3824,0.32,0.32,0.32,0.32,28,0,28,4,0,4,0.00,0.00,0.00
v1_191,100,308,336,336,2420,2448,4152,4156,2320,2140,3816,3820,0.00,0.11,0.00,0.11,208,0,28,4,-180,4,0.11,0.11,0.11
v1_192,440,472,332,324,2584,2620,4156,4160,2144,2148,3824,3836,0.11,0.43,0.11,0.43,32,-8,36,4,4,12,0.32,0.32,0.32
v1_193,248,284,388,392,2404,2428,4208,4208,2156,2144,3820,3816,0.22,0.43,0.22,0.43,36,4,24,0,-12,-4,0.22,0.22,0.22
v1_194,436,472,392,396,2572,2612,4208,4208,2136,2140,3816,3812,0.00,0.00,0.00,0.00,36,4,40,0,4,-4,0.00,0.00,0.00
v1_195,248,280,332,332,2420,2444,4188,4192,2172,2164,3856,3860,0.11,0.11,0.11,0.11,32,0,24,4,-8,4,0.00,0.00,0.00
v1_196,424,456,320,320,2584,2608,4172,4176,2160,2152,3852,3856,-0.34,-0.43,0.34,0.43,32,0,24,4,-8,4,-0.09,0.09,0.09
v1_197,248,288,364,368,2428,2452,4208,4212,2180,2164,3844,3844,0.75,0.75,0.75,0.75,40,4,24,4,-16,0,0.00,0.00,0.00
v1_198,428,460,364,364,2612,2620,4212,4216,2184,2160,3848,3852,0.00,-0.43,0.00,0.43,32,0,8,4,-24,4,-0.43,0.43,0.43
v1_199,268,292,344,348,2416,2456,4180,4184,2148,2164,3836,3836,0.32,0.32,0.32,0.32,24,4,40,4,16,0,-0.00,-0.00,0.00
v1_201,292,320,404,408,2452,2476,4192,4192,2160,2156,3788,3784,1.88,0.00,1.88,0.00,28,4,24,0,-4,-4,-1.88,-1.88,1.88
v1_202,412,444,376,376,2560,2584,4188,4180,2148,2140,3812,3804,-0.75,-0.43,0.75,0.43,32,0,24,-8,-8,-8,0.32,-0.32,0.32
v1_203,252,288,364,364,2396,2420,4160,4160,2144,2132,3796,3796,0.11,-0.11,0.11,0.11,36,0,24,0,-12,0,-0.22,0.00,0.00
v1_204,444,484,372,392,2600,2628,4176,4176,2156,2144,3804,3784,-0.19,0.00,0.19,0.00,40,20,28,0,-12,-20,0.19,-0.19,0.19
v1_205,268,304,336,336,2428,2448,4172,4176,2160,2144,3836,3840,0.21,0.32,0.21,0.32,36,0,20,4,-16,4,0.11,0.11,0.11
v1_206,432,460,332,304,2568,2596,4148,4148,2136,2136,3816,3844,-0.54,-1.41,0.54,1.41,28,-28,28,0,0,28,-0.86,0.86,0.86
v1_207,276,300,344,336,2432,2468,4144,4144,2156,2168,3800,3808,-0.21,0.00,0.21,0.00,24,-8,36,0,12,8,0.21,-0.21,0.21
v1_208,424,452,336,348,2568,2604,4156,4160,2144,2152,3820,3812,0.21,0.11,0.21,0.11,28,12,36,4,8,-8,-0.11,-0.11,0.11
v1_209,248,288,308,312,2416,2424,4128,4128,2168,2136,3820,3816,-0.21,-0.11,0.21,0.11,40,4,8,0,-32,-4,0.11,-0.11,0.11
v1_210,420,456,316,312,2580,2616,4140,4144,2160,2160,3824,3832,0.11,0.11,0.11,0.11,36,-4,36,4,0,8,0.00,0.00,0.00
v1_211,312,340,316,316,2472,2484,4184,4188,2160,2144,3868,3872,0.00,0.00,0.00,0.00,28,0,12,4,-16,4,0.00,0.00,0.00
v1_212,376,408,324,316,2544,2548,4192,4160,2168,2140,3868,3844,-0.11,-0.22,0.11,0.22,32,-8,4,-32,-28,-24,-0.11,0.11,0.11
v1_213,304,336,332,340,2448,2480,4176,4176,2144,2144,3844,3836,-0.43,-0.11,0.43,0.11,32,8,32,0,0,-8,0.32,-0.32,0.32
v1_214,400,436,340,340,2560,2580,4180,4172,2160,2144,3840,3832,-0.32,-0.21,0.32,0.21,36,0,20,-8,-16,-8,0.11,-0.11,0.11
v1_215,296,336,340,340,2448,2476,4156,4156,2152,2140,3816,3816,0.11,0.11,0.11,0.11,40,0,28,0,-12,0,0.00,0.00,0.00
v1_216,408,440,348,352,2556,2584,4164,4164,2148,2144,3816,3812,0.00,0.00,0.00,0.00,32,4,28,0,-4,-4,0.00,0.00,0.00
v1_217,320,356,376,376,2472,2500,4184,4184,2152,2144,3808,3808,0.11,0.11,0.11,0.11,36,0,28,0,-8,0,0.00,0.00,0.00
v1_218,384,428,380,372,2544,2564,4184,4188,2160,2136,3804,3816,0.00,0.00,0.00,0.00,44,-8,20,4,-24,12,0.00,0.00,0.00
v1_219,36,304,360,364,2428,2452,4176,4180,2392,2148,3816,3816,0.00,180.00,0.00,180.00,268,4,24,4,-244,0,180.00,180.00,180.00
v1_220,432,472,368,360,2592,2620,4184,4188,2160,2148,3816,3828,0.32,0.32,0.32,0.32,40,-8,28,4,-12,12,0.00,0.00,0.00
v1_221,272,312,352,344,2444,2464,4160,4164,2172,2152,3808,3820,0.00,0.22,0.00,0.22,40,-8,20,4,-20,12,0.22,0.22,0.22
v1_222,424,456,336,340,2576,2600,4148,4152,2152,2144,3812,3812,-0.11,0.00,0.11,0.00,32,4,24,4,-8,0,0.11,-0.11,0.11
v1_223,288,324,364,368,2448,2468,4172,4176,2160,2144,3808,3808,-0.11,-0.11,0.11,0.11,36,4,20,4,-16,0,0.00,0.00,0.00
v1_224,408,452,356,368,2580,2608,4164,4164,2172,2156,3808,3796,0.21,0.00,0.21,0.00,44,12,28,0,-16,-12,-0.21,-0.21,0.21
v1_225,256,300,332,332,2416,2436,4176,4176,2160,2136,3844,3844,0.11,0.22,0.11,0.22,44,0,20,0,-24,0,0.11,0.11,0.11
v1_226,416,460,328,324,2584,2600,4176,4176,2168,2140,3848,3852,-0.22,0.00,0.22,0.00,44,-4,16,0,-28,4,0.22,-0.22,0.22
v1_227,304,340,380,384,2452,2480,4232,4236,2148,2140,3852,3852,-0.11,0.00,0.11,0.00,36,4,28,4,-8,0,0.11,-0.11,0.11
v1_228,376,404,372,372,2524,2560,4204,4204,2148,2156,3832,3832,0.11,0.21,0.11,0.21,28,0,36,0,8,0,0.11,0.11,0.11
v1_229,336,364,336,336,2500,2528,4192,4192,2164,2164,3856,3856,0.32,0.43,0.32,0.43,28,0,28,0,0,0,0.11,0.11,0.11
v1_230,380,408,324,324,2524,2556,4196,4168,2144,2148,3872,3844,-0.32,-0.21,0.32,0.21,28,0,32,-28,4,-28,0.11,-0.11,0.11
v1_231,300,336,404,404,2480,2500,4232,4232,2180,2164,3828,3828,0.11,0.21,0.11,0.21,36,0,20,0,-16,0,0.11,0.11,0.11
v1_232,356,388,376,376,2496,2528,4224,4224,2140,2140,3848,3848,0.00,-0.11,0.00,0.11,32,0,32,0,0,0,-0.11,0.11,0.11
v1_233,328,356,320,324,2480,2500,4148,4148,2152,2144,3828,3824,0.43,0.32,0.43,0.32,28,4,20,0,-8,-4,-0.11,-0.11,0.11
v1_234,388,408,324,320,2540,2564,4196,4196,2152,2156,3872,3876,-0.43,-0.76,0.43,0.76,20,-4,24,0,4,4,-0.33,0.33,0.33
v1_235,268,300,288,292,2420,2452,4112,4116,2152,2152,3824,3824,-0.21,0.00,0.21,0.00,32,4,32,4,0,0,0.21,-0.21,0.21
v1_236,456,484,304,304,2596,2624,4156,4156,2140,2140,3852,3852,-0.11,-0.11,0.11,0.11,28,0,28,0,0,0,-0.00,0.00,0.00
v1_237,260,284,360,384,2416,2424,4228,4224,2156,2140,3868,3840,-0.32,2.05,0.32,2.05,24,24,8,-4,-16,-28,2.37,1.73,1.73
v1_238,436,456,372,368,2592,2620,4216,4220,2156,2164,3844,3852,0.21,0.43,0.21,0.43,20,-4,28,4,8,8,0.21,0.21,0.21
v1_239,240,280,332,340,2420,2440,4176,4180,2180,2160,3844,3840,0.75,0.54,0.75,0.54,40,8,20,4,-20,-4,-0.21,-0.21,0.21
v1_240,484,508,352,352,2624,2648,4168,4168,2140,2140,3816,3816,0.00,0.00,0.00,0.00,24,0,24,0,0,0,0.00,0.00,0.00
