filename,x1_before,x1_after,y1_before,y1_after,x2_before,x2_after,y2_before,y2_after,width_before,width_after,height_before,height_after,skew_before,skew_after,abs_skew_before,abs_skew_after,delta_x1,delta_y1,delta_x2,delta_y2,delta_width,delta_height,delta_skew,delta_abs_skew,abs_delta_skew
v1_600,344,372,408,408,2504,2508,4240,4244,2160,2136,3832,3836,0.00,0.00,0.00,0.00,28,0,4,4,-24,4,0.00,0.00,0.00
v1_601,332,368,372,368,2488,2512,4168,4168,2156,2144,3796,3800,0.11,0.21,0.11,0.21,36,-4,24,0,-12,4,0.11,0.11,0.11
v1_602,368,400,372,368,2536,2556,4208,4208,2168,2156,3836,3840,-0.53,-0.43,0.53,0.43,32,-4,20,0,-12,4,0.10,-0.10,0.10
v1_603,216,260,388,392,2376,2408,4200,4200,2160,2148,3812,3808,-0.21,-0.11,0.21,0.11,44,4,32,0,-12,-4,0.11,-0.11,0.11
v1_604,496,520,368,364,2648,2672,4212,4212,2152,2152,3844,3848,0.11,0.22,0.11,0.22,24,-4,24,0,0,4,0.11,0.11,0.11
v1_605,204,236,416,412,2348,2376,4236,4240,2144,2140,3820,3828,0.00,0.11,0.00,0.11,32,-4,28,4,-4,8,0.11,0.11,0.11
v1_606,488,512,384,388,2644,2668,4208,4208,2156,2156,3824,3820,0.21,0.21,0.21,0.21,24,4,24,0,0,-4,0.00,0.00,0.00
v1_607,140,252,356,364,2380,2412,4188,4192,2240,2160,3832,3828,-0.32,-0.21,0.32,0.21,112,8,32,4,-80,-4,0.11,-0.11,0.11
v1_608,508,544,332,316,2664,2692,4168,4168,2156,2148,3836,3852,0.00,0.32,0.00,0.32,36,-16,28,0,-8,16,0.32,0.32,0.32
v1_609,212,244,352,348,2364,2396,4168,4172,2152,2152,3816,3824,-0.23,-0.24,0.23,0.24,32,-4,32,4,0,8,-0.02,0.02,0.02
v1_610,452,484,332,328,2648,2636,4148,4148,2196,2152,3816,3820,0.22,-90.00,0.22,90.00,32,-4,-12,0,-44,4,-90.22,89.78,89.78
v1_611,248,284,328,344,2408,2432,4216,4212,2160,2148,3888,3868,-0.76,-0.43,0.76,0.43,36,16,24,-4,-12,-20,0.32,-0.32,0.32
v1_612,468,496,308,316,2604,2632,4152,4152,2136,2136,3844,3836,0.00,0.22,0.00,0.22,28,8,28,0,0,-8,0.22,0.22,0.22
v1_613,252,280,444,452,2412,2424,4288,4288,2160,2144,3844,3836,0.43,0.43,0.43,0.43,28,8,12,0,-16,-8,0.00,0.00,0.00
v1_614,416,448,404,412,2584,2600,4244,4244,2168,2152,3840,3832,-0.34,-0.11,0.34,0.11,32,8,16,0,-16,-8,0.23,-0.23,0.23
v1_615,280,336,340,356,2444,2472,4200,4196,2164,2136,3860,3840,-2.05,-0.21,2.05,0.21,56,16,28,-4,-28,-20,1.83,-1.83,1.83
v1_616,432,456,320,324,2576,2604,4140,4140,2144,2148,3820,3816,-0.11,0.00,0.11,0.00,24,4,28,0,4,-4,0.11,-0.11,0.11
v1_617,228,264,428,428,2388,2416,4248,4248,2160,2152,3820,3820,-0.21,180.00,0.21,180.00,36,0,28,0,-8,0,180.21,179.79,179.79
v1_618,464,488,412,412,2616,2628,4220,4224,2152,2140,3808,3812,0.00,0.00,0.00,0.00,24,0,12,4,-12,4,0.00,0.00,0.00
v1_619,292,332,336,340,2480,2512,4176,4176,2188,2180,3840,3836,0.00,-0.98,0.00,0.98,40,4,32,0,-8,-4,-0.98,0.98,0.98
v1_620,364,392,360,360,2556,2584,4184,4184,2192,2192,3824,3824,0.64,0.64,0.64,0.64,28,0,28,0,0,0,-0.00,-0.00,0.00
v1_621,272,308,276,280,2436,2464,4112,4112,2164,2156,3836,3832,-0.65,-0.54,0.65,0.54,36,4,28,0,-8,-4,0.11,-0.11,0.11
v1_622,400,424,316,320,2584,2612,4156,4164,2184,2188,3840,3844,0.54,0.43,0.54,0.43,24,4,28,8,4,4,-0.11,-0.11,0.11
v1_623,248,272,336,340,2460,2480,4160,4160,2212,2208,3824,3820,-0.75,-0.75,0.75,0.75,24,4,20,0,-4,-4,-0.00,0.00,0.00
v1_624,384,412,348,352,2588,2612,4184,4184,2204,2200,3836,3832,0.95,1.06,0.95,1.06,28,4,24,0,-4,-4,0.11,0.11,0.11
v1_625,4,324,260,280,2468,2492,4108,4112,2464,2168,3848,3832,0.00,-0.86,0.00,0.86,320,20,24,4,-296,-16,-0.86,0.86,0.86
v1_626,396,420,296,308,2580,2596,4132,4128,2184,2176,3836,3820,0.53,0.54,0.53,0.54,24,12,16,-4,-8,-16,0.00,0.00,0.00
v1_627,296,324,336,328,2444,2464,4180,4180,2148,2140,3844,3852,0.21,0.54,0.21,0.54,28,-8,20,0,-8,8,0.32,0.32,0.32
v1_628,420,452,316,316,2584,2600,4140,4144,2164,2148,3824,3828,-0.32,-0.43,0.32,0.43,32,0,16,4,-16,4,-0.11,0.11,0.11
v1_629,268,300,400,396,2464,2472,4276,4272,2196,2172,3876,3876,0.42,0.75,0.42,0.75,32,-4,8,-4,-24,0,0.33,0.33,0.33
v1_630,380,408,372,380,2580,2588,4228,4232,2200,2180,3856,3852,-0.64,-0.64,0.64,0.64,28,8,8,4,-20,-4,-0.01,0.01,0.01
v1_631,284,300,352,352,2456,2484,4196,4196,2172,2184,3844,3844,0.21,0.21,0.21,0.21,16,0,28,0,12,0,0.00,0.00,0.00
v1_632,416,444,308,304,2568,2592,4128,4136,2152,2148,3820,3832,-0.11,-0.32,0.11,0.32,28,-4,24,8,-4,12,-0.21,0.21,0.21
v1_633,244,268,404,396,2420,2444,4228,4228,2176,2176,3824,3832,0.43,0.64,0.43,0.64,24,-8,24,0,0,8,0.22,0.22,0.22
v1_634,436,456,376,364,2616,2628,4228,4232,2180,2172,3852,3868,-0.43,-0.75,0.43,0.75,20,-12,12,4,-8,16,-0.33,0.33,0.33
v1_635,308,332,412,408,2464,2496,4236,4268,2156,2164,3824,3860,0.00,-0.11,0.00,0.11,24,-4,32,32,8,36,-0.11,0.11,0.11
v1_636,388,408,440,436,2552,2572,4268,4272,2164,2164,3828,3836,0.32,0.43,0.32,0.43,20,-4,20,4,0,8,0.11,0.11,0.11
v1_637,260,292,292,316,2420,2448,4128,4128,2160,2156,3836,3812,-1.07,-0.43,1.07,0.43,32,24,28,0,-4,-24,0.64,-0.64,0.64
v1_638,428,476,380,376,2608,2636,4192,4196,2180,2160,3812,3820,0.21,0.32,0.21,0.32,48,-4,28,4,-20,8,0.11,0.11,0.11
v1_639,244,264,400,392,2432,2444,4264,4192,2188,2180,3864,3800,-0.22,-0.32,0.22,0.32,20,-8,12,-72,-8,-64,-0.11,0.11,0.11
v1_640,416,440,456,460,2568,2592,4264,4268,2152,2152,3808,3808,0.22,0.11,0.22,0.11,24,4,24,4,0,0,-0.11,-0.11,0.11
v1_641,276,312,316,312,2444,2472,4112,4112,2168,2160,3796,3800,-0.43,-0.43,0.43,0.43,36,-4,28,0,-8,4,-0.00,0.00,0.00
v1_642,412,448,348,356,2576,2608,4196,4192,2164,2160,3848,3836,-0.21,-0.21,0.21,0.21,36,8,32,-4,-4,-12,0.00,-0.00,0.00
v1_643,240,276,356,352,2396,2424,4180,4180,2156,2148,3824,3828,0.11,0.11,0.11,0.11,36,-4,28,0,-8,4,0.00,0.00,0.00
v1_644,420,480,368,356,2644,2628,4184,4172,2224,2148,3816,3816,0.00,0.11,0.00,0.11,60,-12,-16,-12,-76,0,0.11,0.11,0.11
v1_645,260,296,384,380,2460,2492,4224,4228,2200,2196,3840,3848,0.43,0.43,0.43,0.43,36,-4,32,4,-4,8,0.00,0.00,0.00
v1_646,416,444,400,400,2576,2604,4212,4212,2160,2160,3812,3812,0.00,0.00,0.00,0.00,28,0,28,0,0,0,0.00,0.00,0.00
v1_647,300,328,344,352,2452,2484,4172,4176,2152,2156,3828,3824,-0.21,-0.11,0.21,0.11,28,8,32,4,4,-4,0.11,-0.11,0.11
v1_648,392,424,336,336,2552,2576,4164,4164,2160,2152,3828,3828,0.21,0.11,0.21,0.11,32,0,24,0,-8,0,-0.11,-0.11,0.11
v1_649,260,292,352,356,2404,2436,4164,4164,2144,2144,3812,3808,0.00,0.00,0.00,0.00,32,4,32,0,0,-4,0.00,0.00,0.00
v1_650,448,480,368,348,2592,2628,4208,4212,2144,2148,3840,3864,0.43,0.21,0.43,0.21,32,-20,36,4,4,24,-0.22,-0.22,0.22
v1_653,220,252,356,348,2388,2400,4188,4188,2168,2148,3832,3840,0.32,0.51,0.32,0.51,32,-8,12,0,-20,8,0.19,0.19,0.19
v1_654,456,480,348,348,2632,2660,4196,4192,2176,2180,3848,3844,-0.32,-0.53,0.32,0.53,24,0,28,-4,4,-4,-0.21,0.21,0.21
v1_655,224,264,368,384,2392,2412,4204,4208,2168,2148,3836,3824,-0.32,0.54,0.32,0.54,40,16,20,4,-20,-12,0.86,0.22,0.22
v1_656,448,480,376,376,2608,2636,4204,4200,2160,2156,3828,3824,-0.21,-0.21,0.21,0.21,32,0,28,-4,-4,-4,-0.00,0.00,0.00
v1_659,280,312,372,372,2452,2480,4244,4244,2172,2168,3872,3872,-0.53,-0.53,0.53,0.53,32,0,28,0,-4,0,-0.00,0.00,0.00
v1_660,400,436,376,392,2576,2584,4192,4192,2176,2148,3816,3800,0.42,-0.11,0.42,0.11,36,16,8,0,-28,-16,-0.53,-0.32,0.32
v1_661,312,340,376,372,2476,2504,4212,4212,2164,2164,3836,3840,-0.11,-0.21,0.11,0.21,28,-4,28,0,0,4,-0.11,0.11,0.11
v1_664,368,400,340,340,2528,2556,4172,4172,2160,2156,3832,3832,0.21,0.11,0.21,0.11,32,0,28,0,-4,0,-0.11,-0.11,0.11
v1_665,284,316,324,332,2444,2476,4176,4128,2160,2160,3852,3796,0.00,-0.21,0.00,0.21,32,8,32,-48,0,-56,-0.21,0.21,0.21
v1_666,416,448,320,336,2580,2608,4172,4176,2164,2160,3852,3840,-0.32,-0.21,0.32,0.21,32,16,28,4,-4,-12,0.11,-0.11,0.11
v1_667,280,304,372,356,2428,2456,4180,4180,2148,2152,3808,3824,0.43,0.64,0.43,0.64,24,-16,28,0,4,16,0.22,0.22,0.22
v1_670,472,500,344,336,2624,2648,4180,4176,2152,2148,3836,3840,-0.21,-0.11,0.21,0.11,28,-8,24,-4,-4,4,0.11,-0.11,0.11
v1_671,252,280,392,384,2512,2424,4208,4212,2260,2144,3816,3828,0.00,0.11,0.00,0.11,28,-8,-88,4,-116,12,0.11,0.11,0.11
v1_672,444,480,364,368,2612,2628,4188,4184,2168,2148,3824,3816,0.64,0.95,0.64,0.95,36,4,16,-4,-20,-8,0.32,0.32,0.32
v1_673,268,308,368,360,2416,2448,4172,4172,2148,2140,3804,3812,0.00,0.91,0.00,0.91,40,-8,32,0,-8,8,0.91,0.91,0.91
v1_676,364,400,316,308,2564,2588,4172,4136,2200,2188,3856,3828,0.97,0.86,0.97,0.86,36,-8,24,-36,-12,-28,-0.11,-0.11,0.11
v1_677,300,324,336,340,2484,2508,4208,4208,2184,2184,3872,3868,0.00,0.00,0.00,0.00,24,4,24,0,0,-4,0.00,0.00,0.00
v1_678,368,412,324,324,2616,2608,4172,4176,2248,2196,3848,3852,1.58,1.82,1.58,1.82,44,0,-8,4,-52,4,0.24,0.24,0.24
v1_679,260,304,352,348,2444,2464,4164,4164,2184,2160,3812,3816,0.00,0.18,0.00,0.18,44,-4,20,0,-24,4,0.18,0.18,0.18
v1_680,416,440,340,328,2584,2608,4176,4180,2168,2168,3836,3852,0.43,0.53,0.43,0.53,24,-12,24,4,0,16,0.11,0.11,0.11
v1_681,292,320,316,316,2448,2476,4156,4156,2156,2156,3840,3840,-0.32,-0.32,0.32,0.32,28,0,28,0,0,0,0.00,0.00,0.00
v1_684,388,412,308,308,2588,2612,4124,4124,2200,2200,3816,3816,0.75,0.75,0.75,0.75,24,0,24,0,0,0,0.00,0.00,0.00
v1_685,288,312,304,308,2488,2504,4104,4104,2200,2192,3800,3796,0.00,0.00,0.00,0.00,24,4,16,0,-8,-4,0.00,0.00,0.00
v1_686,364,392,228,232,2564,2584,4076,4076,2200,2192,3848,3844,0.98,1.09,0.98,1.09,28,4,20,0,-8,-4,0.11,0.11,0.11
v1_687,280,312,424,456,2464,2484,4288,4288,2184,2172,3864,3832,-0.64,-0.43,0.64,0.43,32,32,20,0,-12,-32,0.21,-0.21,0.21
